region_index,mean_low,sd_low,mean_high,sd_high,diff_high_minus_low
181,0.1911648,0.085888882,0.16062368,0.074793682,-0.030541121
182,0.17390155,0.086937888,0.14890643,0.074173968,-0.024995123
183,0.1973264,0.090946253,0.17149106,0.083515261,-0.025835341
184,0.16297809,0.0841339,0.13543719,0.064274212,-0.02754091
185,0.16689502,0.082307105,0.14477386,0.06647911,-0.022121161
186,0.18829,0.088193667,0.16697174,0.077800217,-0.02131826
187,0.19487964,0.090770345,0.16807846,0.080784305,-0.026801184
188,0.18160775,0.082812748,0.14835144,0.064977542,-0.033256311
189,0.13612063,0.076147974,0.093966134,0.05393349,-0.042154498
190,0.19889551,0.089000909,0.16445069,0.069798416,-0.034444813
191,0.14734636,0.072266994,0.11412548,0.060530681,-0.033220878
192,0.15911859,0.083840764,0.12743737,0.067274712,-0.031681225
193,0.14781144,0.077353655,0.11419529,0.061735101,-0.033616153
194,0.15794267,0.080624744,0.13704308,0.064588805,-0.020899583
195,0.15625711,0.076019109,0.12417396,0.063368677,-0.032083152
196,0.15964102,0.082971847,0.13287465,0.06340242,-0.026766363
197,0.095054252,0.063464268,0.080755372,0.057786043,-0.01429888
198,0.10090511,0.066368189,0.086591462,0.05560279,-0.014313649
199,0.10906448,0.070835895,0.087529122,0.055918334,-0.021535361
200,0.13861889,0.078959108,0.11757984,0.063298336,-0.021039058
201,0.19317239,0.092944212,0.15320357,0.079942966,-0.039968823
202,0.12619448,0.071794206,0.096057286,0.06019333,-0.030137199
203,0.11459389,0.077667234,0.090930378,0.06153672,-0.023663509
204,0.11326644,0.072941916,0.085343059,0.058675877,-0.027923377
205,0.17051658,0.082375171,0.14641363,0.072407524,-0.024102947
206,0.097239214,0.06763146,0.068415323,0.048980783,-0.02882389
207,0.097279957,0.071285829,0.079769523,0.056010432,-0.017510434
208,0.13115127,0.072493344,0.10716647,0.064186948,-0.023984799
209,0.080129911,0.063158087,0.05969735,0.045933991,-0.020432561
210,0.07344078,0.054121019,0.057974251,0.044879333,-0.015466529
211,0.15045901,0.075592901,0.11755416,0.06795063,-0.032904849
212,0.13674748,0.068609733,0.11044387,0.059101852,-0.026303609
213,0.14476875,0.07391489,0.12023279,0.063756479,-0.024535951
214,0.12094991,0.075541033,0.091625867,0.056384414,-0.029324045
215,0.12411424,0.075351922,0.097457111,0.062171053,-0.026657124
216,0.095134134,0.067024141,0.073766558,0.057589181,-0.021367576
217,0.16931134,0.088333883,0.1443383,0.070162672,-0.024973038
218,0.15169168,0.071756333,0.11900891,0.057072092,-0.03268277
219,0.19502346,0.097951062,0.16013607,0.077721402,-0.034887395
220,0.14368388,0.079635652,0.11553035,0.06598272,-0.02815353
221,0.22289936,0.10047893,0.18191316,0.08430825,-0.040986197
222,0.18741358,0.092360315,0.1492204,0.07977408,-0.038193185
223,0.15522224,0.075540335,0.12033466,0.065119641,-0.034887578
224,0.13913176,0.073298711,0.10636937,0.061787857,-0.032762392
225,0.14661323,0.071221226,0.11678189,0.060780719,-0.029831337
226,0.1516304,0.081018798,0.1120542,0.068139692,-0.039576202
227,0.14578185,0.081838375,0.11391219,0.066969942,-0.031869653
228,0.12165859,0.07469732,0.091798271,0.060931656,-0.029860321
229,0.12697089,0.07396682,0.10480218,0.063204599,-0.022168714
230,0.15803951,0.08151664,0.12212595,0.062750541,-0.035913561
231,0.10115565,0.06891169,0.068095501,0.056070461,-0.033060146
232,0.091385139,0.07076396,0.056210846,0.051556669,-0.035174293
